hiring_unit_id,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_2digit
60027021,_31,2017,0.0,1,0
60027257,_11,2012,0.0,1,0
60027277,_19,2015,0.0,1,0
60027277,_23,2017,0.0,1,0
60027363,_17,2017,0.0,1,0
60027363,_19,2013,0.0,1,0
60027363,_22,2017,0.0,1,0
60027363,_23,2013,0.0,2,0
60027363,_25,2017,0.0,1,0
60027363,_31,2017,0.0,3,0
60027416,_13,2012,0.5,2,0
60027416,_15,2017,0.0,1,0
60027416,_16,2016,0.0,1,0
60027416,_26,2016,0.0,1,0
60027416,_27,2012,0.0,1,0
60027470,_15,2015,1.0,1,1
60027470,_16,2013,0.0,2,0
60027470,_22,2015,0.0,1,0
60027470,_23,2017,1.0,1,1
60027470,_25,2015,0.0,1,0
60027470,_27,2013,0.0,1,0
60027631,_16,2017,0.0,1,0
60027631,_26,2013,0.0,1,0
60027631,_31,2012,0.0,1,0
60027799,_22,2011,0.0,1,0
60027799,_31,2017,0.0,1,0
60028009,_11,2015,0.0,1,0
60028009,_13,2017,0.0,1,0
60028009,_25,2016,0.0,1,0
60028265,_16,2015,0.5,2,0
60028265,_17,2017,0.0,1,0
60028265,_22,2017,0.0,1,0
60028797,_15,2016,0.0,1,0
60028891,_22,2017,0.0,1,0
60028965,_19,2016,0.0,1,0
60029242,_10,2013,0.0,1,0
60029242,_13,2013,0.0,4,0
60029242,_15,2017,0.0,1,0
60029242,_16,2011,0.0,1,0
60029242,_17,2013,0.0,1,0
60029242,_19,2012,0.0,1,0
60029242,_27,2013,0.0,1,0
60029242,_28,2015,0.0,1,0
60029242,_31,2017,0.0,1,0
