hiring_unit_id,subfield_most_frequent,subfield_most_frequent_two_digit,year,never_returned,JTTP_authid,reneger_treatment_4digit
60016521,_2707,_27,2017,0.0,1,0
60016521,_2730,_27,2015,0.0,1,0
60016521,_2916,_29,2012,0.0,1,0
60016521,_3104,_31,2015,0.5,2,0
60016521,_3500,_35,2012,1.0,1,1
60016835,_1600,_16,2013,0.0,1,0
60016835,_1602,_16,2012,0.0,1,0
60016835,_1700,_17,2017,0.0,1,0
60016835,_1710,_17,2017,0.0,1,0
60016835,_2200,_22,2012,0.0,1,0
60016835,_2207,_22,2011,1.0,1,1
60016835,_2208,_22,2012,1.0,1,1
60016835,_2210,_22,2012,0.0,1,0
60016835,_2211,_22,2017,0.0,1,0
60016835,_2500,_25,2016,0.0,1,0
60016835,_2504,_25,2017,0.0,1,0
60016835,_2613,_26,2017,0.0,1,0
60016835,_3104,_31,2015,0.0,1,0
60017060,_1307,_13,2017,0.0,1,0
